Company,EV,TTTMRev,TTMRev,NTMRev,EV/TTM,EV/NTM,TTMRevGr,NTMRevGr,GP,GP%,RD,RD%,SM,SM%,GA,GA%,EBITDA,EBITDA%,TTMFCF,TTMFCF%,Cash,Cash%,NI,NI%
IMPV US Equity,1544.9141,264.455,344.017,369.769,4.490807431,4.178051973,0.300852697,0.074856766,274.4359969,0.797739638,63.452,0.184444373,152.178,0.442356046,54.435,0.158233459,7.055898734,0.02051032,76.452,0.222233204,192.538,0.55967583,-22.8319,-0.066368522
ALRM US Equity,2086.6888,261.106,375.999,410.812,5.549719015,5.079425139,0.440024358,0.092588012,251.4160004,0.668661354,72.755,0.193497855,43.49,0.115665201,55.396,0.147330179,78.801,0.209577685,41.491,0.110348698,96.329,0.25619483,54.19519196,0.144136532
BNFT US Equity,1106.007,233.335,252.16,269.784,4.386131821,4.099601904,0.080677995,0.069892132,126.3089975,0.500908144,49.549,0.196498255,69.28,0.274746193,27.268,0.10813769,-11.26988608,-0.044693393,-2.834,-0.011238896,55.335,0.219444004,-40.2118,-0.159469385
PCTY US Equity,3202.2396,230.701,377.527,452.614,8.482147237,7.074990168,0.636434172,0.198891735,228.3299991,0.604804422,37.645,0.099714722,95.484,0.252919659,79.252,0.209924058,46.512,0.123201784,58.708,0.155506758,137.193,0.363399174,3.82833,0.010140546
CYBR US Equity,2121.9027,216.613,294.682,349.253,7.200652568,6.075546094,0.360407732,0.185186065,249.1049985,0.845334966,42.389,0.143846587,126.739,0.430087348,30.399,0.103158659,33.943,0.115185183,115.262,0.39114028,161.261,0.547237361,27.05574203,0.091813351
EGHT US Equity,1478.7066,209.336,310.627,366.353,4.760393012,4.036289044,0.48386804,0.179398443,234.641001,0.755378641,34.797,0.112021814,184.044,0.59249196,38.915,0.125278871,-13.42,-0.043202941,-20.387,-0.065631771,31.703,0.102061315,42.35631249,0.136357472
CARB US EQUITY,1234.2757,206.986,265.089,329.138,4.656080411,3.750024914,0.280709806,0.241613194,189.5950009,0.71521263,46.16,0.174130198,90.922,0.342986695,43.331,0.16345831,35.431,0.133656998,32.344,0.122011853,128.231,0.483728106,-1.889951175,-0.007129497
MGIC US Equity,374.9058,201.646,271.697,301,1.379867279,1.245534219,0.347395931,0.107851761,87.58700073,0.322370143,6.942,0.025550521,27.244,0.100273466,22.837,0.084053192,41.934,0.154341049,23.638,0.087001329,76.076,0.280003092,18.1941428,0.066964828
QLYS US Equity,2532.3747,197.925,255.436,303.845,9.9139303,8.334429397,0.29056966,0.189515182,196.1540005,0.767918385,42.816,0.167619286,63.855,0.249984341,35.334,0.138328192,67.129,0.262801641,93.985,0.367939523,86.591,0.338992938,42.55703867,0.166605485
SPSC US Equity,1335.0657,193.295,234.533,255.227,5.692442855,5.230895242,0.213342301,0.088234918,156.2690018,0.666298567,23.183,0.098847497,73.295,0.312514657,37.461,0.159725923,24.942,0.106347508,34.721,0.148043133,123.127,0.524987955,10.046,0.042834057
HDP US Equity,1375.7365,184.461,309.411,376.046,4.446307662,3.658426097,0.677378958,0.215360798,220.4609998,0.7125183,101.094,0.326730465,200.188,0.646997036,78.282,0.253003287,-163.124,-0.527208147,19.365,0.062586657,62.739,0.202769132,-176.848,-0.57156339
NEWR US Equity,4436.8192,181.309,383.181,489.975,11.57891232,9.055195061,1.113414116,0.278703798,318.382998,0.830894533,74.332,0.193986654,207.021,0.540269481,57.788,0.150811235,-2.259,-0.005895386,49.615,0.12948189,132.479,0.345734783,-33.4052,-0.087178644
WK US Equity,1360.3652,178.646,225.61,255.92,6.029720314,5.315587684,0.262888618,0.134346882,161.0620006,0.713895663,68.172,0.302167457,84.161,0.373037543,39.594,0.17549754,-48.74664557,-0.216065979,-0.205,-0.000908648,60.333,0.267421657,-53.88,-0.238819201
AVLR US Equity,2527.3156,167.426,213.159,282.81,11.85648084,8.936443549,0.273153513,0.326756083,155.182,0.728010546,41.264,0.193583194,133.794,0.627672301,34.286,0.160847067,-43.303,-0.203148823,-17.496,-0.082079574,14.075,0.066030522,-55.23355,-0.259119014
FSCT US Equity,949.0302,166.841,257.603,302.613,3.684080543,3.136118409,0.544002973,0.174726226,194.4249987,0.75474664,47.435,0.184139936,151.093,0.586534318,51.206,0.198778741,-82.965,-0.322065349,-6.803,-0.026408854,63.009,0.244597307,-92.112,-0.357573475
CLDR US Equity,1642.0149,166.048,411.064,487.033,3.994548051,3.371465383,1.475573328,0.184810638,279.6280047,0.680254181,215.695,0.524723644,298.467,0.726084016,85.539,0.208091684,-176.494,-0.429358932,-42.265,-0.102818539,43.247,0.105207462,-184.54895,-0.448954299
VRNS US Equity,1637.1988,164.456,242.528,285.279,6.750555812,5.738939074,0.474728803,0.17627243,218.322998,0.900197083,47.369,0.195313531,135.896,0.560331178,26.823,0.110597539,-20.38,-0.084031535,16.853,0.069488884,56.689,0.233742083,-25.52228,-0.105234365
