Company,EV,TTTMRev,TTMRev,NTMRev,EV/TTM,EV/NTM,TTMRevGr,NTMRevGr,GP,GP%,EBITDA,EBITDA%,Cash,NI,NI%
ANSS US Equity,11715.8476,988.465,1172.363,1282.571,9.993361783,9.13465812,0.186044018,0.094005014,1016.079991,0.866694011,497.349,0.42422782,881.501,334.1122927,0.284990479
TTEC US Equity,1386.783,1275.258,1510.761,1523.833,0.917936722,0.910062323,0.184670867,0.008652593,364.964994,0.241576923,185.9994499,0.123116396,74.437,69.21976,0.04581781
QADB US Equity,684.5881,277.852,328.411,339.733,2.084546803,2.01507684,0.181963779,0.034475094,169.0430008,0.514730021,6.777,0.020635728,147.023,-1.2028758,-0.003662715
TYL US Equity,7952.1032,756.043,891.157,1005.667,8.923347065,7.907292573,0.178712057,0.128495877,422.9360012,0.47459202,222.82,0.250034506,185.926,145.2779987,0.163021778
EXLS US Equity,1943.9062,685.988,807.305,961.457,2.407895653,2.021833738,0.176850032,0.19094642,275.2960002,0.341006187,101.5707722,0.12581462,86.795,66.46624,0.082331015
PAYX US Equity,23118.2019,2951.9,3426.9,3662.956,6.74609761,6.311351242,0.16091331,0.068883247,2375.699963,0.693250449,1437.82572,0.419570375,358.2,914.04666,0.266726972
ALTR US Equity,2344.0949,313.24,362.102,403.583,6.47357623,5.808210207,0.155989018,0.11455612,250.6850008,0.692304933,-3.474,-0.009593982,39.213,-84.54,-0.233470127
EPAY US Equity,2781.2797,343.274,394.096,427.567,7.057365972,6.504897946,0.148050828,0.084931083,220.9660007,0.560690798,54.478,0.138235354,124.613,4.268979111,0.010832333
ADP US Equity,61613.1055,11667.8,13325.8,14165.857,4.623595244,4.34940897,0.142100482,0.063039893,5483.099951,0.411464974,3327.1,0.249673566,2170,1929.617,0.144803089
FICO US Equity,6521.5419,881.356,1005.889,1083.667,6.483361385,6.018031277,0.141297047,0.077322647,699.4190161,0.695324252,228.197,0.226861015,90.023,130.87135,0.130105161
BLKB US Equity,3579.8489,730.815,833.045,871.045,4.297305548,4.109832328,0.139884923,0.045615783,461.1050034,0.553517521,162.346,0.194882629,29.83,80.1554964,0.096219888
CDNS US Equity,12773.614,1816.083,2069.894,2201.5,6.17114403,5.802232114,0.139757379,0.063581034,1826.986992,0.88264761,518.217,0.250359197,688.087,347.5964876,0.167929608
CATM US Equity,2037.6169,1265.364,1442.086,1299.5,1.412964899,1.568000693,0.139660999,-0.098874824,493.4369999,0.342168914,321.951,0.223253676,51.37,65.55899,0.045461221
PEGA US Equity,3887.6603,750.266,851.316,927.8,4.566647755,4.190192175,0.134685565,0.08984208,558.1769963,0.655663698,16.657,0.019566178,162.279,16.698,0.019614338
JKHY US Equity,11659.7503,1354.646,1536.603,1642.25,7.588004384,7.099863176,0.134320701,0.068753608,662.9609862,0.431445849,542.408,0.352991632,31.44,282.15797,0.183624508
ECOM US Equity,268.7581,113.2,128.307,134.504,2.094648772,1.998142063,0.133454064,0.048298222,101.3909994,0.790221885,-4.341,-0.033832916,53.422,-10.437,-0.081343964
DMRC US Equity,255.0078,21.793,24.586,25.217,10.37207354,10.11253519,0.128160418,0.025665013,16.06700011,0.653501998,-27.398,-1.114374034,40.823,-28.76,-1.169771415
SYKE US Equity,1236.1942,1460.037,1637.712,1656.5,0.754830031,0.746268759,0.121692122,0.011472103,553.7340011,0.338114394,168.064,0.102621218,343.734,71.18772534,0.043467792
AMBR US Equity,259.9698,73.16119,81.967007,89.275,3.171639535,2.912011201,0.120361861,0.089157739,44.32934675,0.54081939,-4.325687,-0.052773514,9.360601,-10.418129,-0.127101493
INOV US Equity,2404.9516,427.588,476.027,635.75,5.052132757,3.782857413,0.113284283,0.335533489,327.9580031,0.688948322,100.641,0.21141868,208.944,7.217936265,0.015162872
SABR US Equity,9733.1316,3373.387,3755.213,3945.075,2.591898675,2.467160092,0.113187725,0.050559582,1077.020976,0.286806894,972.276,0.258913675,361.381,307.7963166,0.081965075
G US Equity,6190.147,2570.756,2860.71,3102.792,2.163849883,1.995024803,0.11278939,0.084623048,1068.413992,0.373478609,407.051,0.142290201,504.468,271.84731,0.095027916
FEYE US Equity,3196.73,714.114,793.642,853.059,4.027924429,3.747372691,0.111365972,0.07486625,520.8410096,0.656266944,-128.273,-0.161625771,180.891,-257.4737082,-0.324420467
MOBL US Equity,343.1898,163.926,181.369,204.3,1.892218626,1.679832599,0.106407769,0.126432852,150.5580013,0.830119818,-47.041,-0.259366264,85.833,-51.76737,-0.285425679
WP US Equity,37238.548,3578.991,3957.011,4123.266,9.410776973,9.031323228,0.105621948,0.042015299,2980.671033,0.753263267,1336.268,0.337696307,126.503,93.84045,0.023714983
EA US Equity,25857.6105,4396,4838,5394.975,5.344690058,4.792906455,0.100545951,0.115125052,3503,0.724059529,1151,0.237908227,4258,881.08,0.182116577
